"Footprint","Part Value","LCSC Part"
"CP_Radial_D8.0mm_P2.50mm","56u","C106629"
"C_0603_1608Metric","4.7u","C19666"
"C_0603_1608Metric","0.1uF","C14663"
"C_0603_1608Metric","1uF","C15849"
"C_0603_1608Metric","10nF","C57112"
"C_0603_1608Metric","1u","C15849"
"C_0603_1608Metric","10n","C57112"
"C_0603_1608Metric","100n","C14663"
"C_0603_1608Metric","330p","C1664"
"C_0603_1608Metric","10uF","C19702"
"C_0603_1608Metric","2.2nF","C1604"
"C_1206_3216Metric","10u","C13585"
"D_SMA","D_Schottky","C8678"
"D_SMC","SM15T33CA","C151281"
"ESP32-S3-MINI-1U","ESP32-S3-MINI-1","C2980299"
"Fuse_1206_3216Metric","Fuse","C207035"
"LED_0805_2012Metric","LED","C2297"
"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","WS2812B","C2761795"
"L_1210_3225Metric","2.2u","C286757"
"L_Sunlord_MWSA0503S","10u","C408412"
"MICRO-USB-SMD_5P-P0.65-H-F_C10418","C10418","C10418"
"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","MPU-6050","C24112"
"R_0603_1608Metric","1","C22936"
"R_0603_1608Metric","10k","C25804"
"R_0603_1608Metric","12k","C22790"
"R_0603_1608Metric","68k","C23231"
"R_0603_1608Metric","640","C22962"
"R_0603_1608Metric","500","C22787"
"R_0603_1608Metric","120","C22787"
"R_0603_1608Metric","620","C23193"
"R_0603_1608Metric","510","C23193"
"R_0805_2012Metric","40","C5355206"
"R_0805_2012Metric","36k","C4360"
"R_0805_2012Metric","10k","C17414"
"R_0805_2012Metric","5.1k","C27834"
"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","LMR14020","C187824"
"SOIC-8_3.9x4.9mm_P1.27mm","TJA1051T-3","C5342108"
"SOIC-8_3.9x4.9mm_P1.27mm","MAX31855KASA","C52028"
"SOT-223-3_TabPin2","AMS1117-3.3","C6186"
"SOT-23","BSS138","C82045"
"SOT-23-6","USBLC6-2SC6","C2827654"
"SW_SPST_TL3342","RESET1","C318884"
"SW_SPST_TL3342","BOOT1","C318884"
"TSSOP-10_3x3mm_P0.5mm","ADS1115IDGS","C37593"
"TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal","Screw_Terminal_01x02","C3697"
"TerminalBlock_Xinya_XY308-2.54-6P_1x06_P2.54mm_Horizontal","Screw_Terminal_01x06","C7246"
"USB_Micro-B_Amphenol_10103594-0001LF_Horizontal","USB_B_Micro","C428495"
